Timecode List:,00:00:01.585,00:00:05.088,00:00:16.975,00:00:50.175,00:00:53.595,00:01:01.103,00:01:17.494,00:01:18.287,00:01:19.496,00:01:30.340,00:01:31.300,00:01:46.773,00:01:49.318,00:02:00.370,00:02:00.954,00:02:01.538,00:02:02.456,00:02:12.966,00:02:13.884,00:02:14.468,00:02:15.427,00:02:21.767,00:02:34.780,00:02:36.448,00:02:38.825,00:02:46.083,00:02:47.959,00:02:57.803,00:03:04.518,00:03:07.229,00:03:09.856,00:03:16.822,00:03:20.826,00:03:23.995,00:03:25.455
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,0,00:00:00.000,0.000,38,00:00:01.585,1.585,38,00:00:01.585,1.585
2,38,00:00:01.585,1.585,122,00:00:05.088,5.088,84,00:00:03.503,3.503
3,122,00:00:05.088,5.088,407,00:00:16.975,16.975,285,00:00:11.887,11.887
4,407,00:00:16.975,16.975,1203,00:00:50.175,50.175,796,00:00:33.200,33.200
5,1203,00:00:50.175,50.175,1285,00:00:53.595,53.595,82,00:00:03.420,3.420
6,1285,00:00:53.595,53.595,1465,00:01:01.103,61.103,180,00:00:07.507,7.507
7,1465,00:01:01.103,61.103,1858,00:01:17.494,77.494,393,00:00:16.391,16.391
8,1858,00:01:17.494,77.494,1877,00:01:18.287,78.287,19,00:00:00.792,0.792
9,1877,00:01:18.287,78.287,1906,00:01:19.496,79.496,29,00:00:01.210,1.210
10,1906,00:01:19.496,79.496,2166,00:01:30.340,90.340,260,00:00:10.844,10.844
11,2166,00:01:30.340,90.340,2189,00:01:31.300,91.300,23,00:00:00.959,0.959
12,2189,00:01:31.300,91.300,2560,00:01:46.773,106.773,371,00:00:15.474,15.474
13,2560,00:01:46.773,106.773,2621,00:01:49.318,109.318,61,00:00:02.544,2.544
14,2621,00:01:49.318,109.318,2886,00:02:00.370,120.370,265,00:00:11.053,11.053
15,2886,00:02:00.370,120.370,2900,00:02:00.954,120.954,14,00:00:00.584,0.584
16,2900,00:02:00.954,120.954,2914,00:02:01.538,121.538,14,00:00:00.584,0.584
17,2914,00:02:01.538,121.538,2936,00:02:02.456,122.456,22,00:00:00.918,0.918
18,2936,00:02:02.456,122.456,3188,00:02:12.966,132.966,252,00:00:10.510,10.510
19,3188,00:02:12.966,132.966,3210,00:02:13.884,133.884,22,00:00:00.918,0.918
20,3210,00:02:13.884,133.884,3224,00:02:14.468,134.468,14,00:00:00.584,0.584
21,3224,00:02:14.468,134.468,3247,00:02:15.427,135.427,23,00:00:00.959,0.959
22,3247,00:02:15.427,135.427,3399,00:02:21.767,141.767,152,00:00:06.340,6.340
23,3399,00:02:21.767,141.767,3711,00:02:34.780,154.780,312,00:00:13.013,13.013
24,3711,00:02:34.780,154.780,3751,00:02:36.448,156.448,40,00:00:01.668,1.668
25,3751,00:02:36.448,156.448,3808,00:02:38.825,158.825,57,00:00:02.377,2.377
26,3808,00:02:38.825,158.825,3982,00:02:46.083,166.083,174,00:00:07.257,7.257
27,3982,00:02:46.083,166.083,4027,00:02:47.959,167.959,45,00:00:01.877,1.877
28,4027,00:02:47.959,167.959,4263,00:02:57.803,177.803,236,00:00:09.843,9.843
29,4263,00:02:57.803,177.803,4424,00:03:04.518,184.518,161,00:00:06.715,6.715
30,4424,00:03:04.518,184.518,4489,00:03:07.229,187.229,65,00:00:02.711,2.711
31,4489,00:03:07.229,187.229,4552,00:03:09.856,189.856,63,00:00:02.628,2.628
32,4552,00:03:09.856,189.856,4719,00:03:16.822,196.822,167,00:00:06.965,6.965
33,4719,00:03:16.822,196.822,4815,00:03:20.826,200.826,96,00:00:04.004,4.004
34,4815,00:03:20.826,200.826,4891,00:03:23.995,203.995,76,00:00:03.170,3.170
35,4891,00:03:23.995,203.995,4926,00:03:25.455,205.455,35,00:00:01.460,1.460
36,4926,00:03:25.455,205.455,5052,00:03:30.710,210.710,126,00:00:05.255,5.255
